timestamp_ms,runqueue_length_core0,runqueue_length_core1,runqueue_length_core2,runqueue_length_core3,total_runnable,total_blocked,total_sleeping,voluntary_ctx_switches,involuntary_ctx_switches,avg_scheduler_latency_ns,max_scheduler_latency_ns,realtime_processes,normal_processes
1748120300873,0,0,0,0,0,0,0,0,0,1550,1550,4,34
1748120301147,0,0,0,0,0,0,0,0,0,926.5,1550,4,35
1748120301423,0,0,0,0,0,0,0,0,0,876.182,1550,4,35
1748120301699,0,0,0,0,0,0,0,0,0,811.062,1550,4,35
1748120301975,0,0,0,0,0,0,0,0,0,741.381,1550,4,35
1748120302251,0,0,0,0,0,0,0,0,0,726.5,1550,4,35
1748120302527,0,0,0,0,0,0,0,0,0,739.969,1550,4,35
1748120302803,0,0,0,0,0,0,0,0,0,735.378,1550,4,35
1748120303079,0,0,0,0,0,0,0,0,0,721.405,1550,4,35
1748120303355,0,0,0,0,0,0,0,0,0,716.766,1550,4,35
1748120303631,0,0,0,0,0,0,0,0,0,718.981,1550,4,35
1748120303905,0,0,0,0,0,0,0,0,0,739.246,1670,4,35
1748120304181,0,0,0,0,0,0,0,0,0,738.694,1670,4,35
1748120304457,0,0,0,0,0,0,0,0,0,747.176,1670,4,35
1748120304733,0,0,0,0,0,0,0,0,0,740.137,1670,4,35
1748120305009,0,0,0,0,0,0,0,0,0,731.936,1670,4,35
1748120305285,0,0,0,0,0,0,0,0,0,733.506,1670,4,35
1748120305561,0,0,0,0,0,0,0,0,0,732.273,1670,4,35
1748120305837,0,0,0,0,0,0,0,0,0,728.161,1670,4,35
1748120306113,0,0,0,0,0,0,0,0,0,728.798,1670,4,35
1748120306383,0,0,0,0,0,0,0,0,0,741.933,1670,4,35
1748120306638,0,0,0,0,0,0,0,0,0,741.287,1670,4,35
1748120306913,0,0,0,0,0,0,0,0,0,730.237,1670,4,35
1748120307168,0,0,0,0,0,0,0,0,0,725.051,1670,4,35
1748120307444,0,0,0,0,0,0,0,0,0,724.049,1670,4,35
1748120307709,0,0,0,0,0,0,0,0,0,722.62,1670,4,35
1748120307982,0,0,0,0,0,0,0,0,0,740.358,1739,4,35
1748120308252,0,0,0,0,0,0,0,0,0,758.633,1739,4,35
1748120308522,0,0,0,0,0,0,0,0,0,768.826,1739,4,35
1748120308787,0,0,0,0,0,0,0,0,0,777.121,1739,4,35
1748120309062,0,0,0,0,0,0,0,0,0,787.487,1739,4,35
1748120309319,0,0,0,0,0,0,0,0,0,794.478,1739,4,35
1748120309592,0,0,0,0,0,0,0,0,0,794.287,1739,4,35
1748120309863,0,0,0,0,0,0,0,0,0,797.237,1739,4,35
1748120310132,0,0,0,0,0,0,0,0,0,800.695,1739,4,35
1748120310403,0,0,0,0,0,0,0,0,0,802.469,1739,4,35
1748120310673,0,0,0,0,0,0,0,0,0,817.728,1739,4,35
1748120310942,0,0,0,0,0,0,0,0,0,839.063,2000,4,35
1748120311213,0,0,0,0,0,0,0,0,0,853.418,2000,4,35
1748120311482,0,0,0,0,0,0,0,0,0,870.467,2250,4,35
1748120311752,0,0,0,0,0,0,0,0,0,885.172,2340,4,35
1748120312009,0,0,0,0,0,0,0,0,0,894.565,2340,4,35
1748120312279,0,0,0,0,0,0,0,0,0,907.075,2340,4,35
1748120312553,0,0,0,0,0,0,0,0,0,917.274,2340,4,35
1748120312823,0,0,0,0,0,0,0,0,0,924.83,2340,4,35
1748120313092,0,0,0,0,0,0,0,0,0,940.886,2500,4,35
1748120313362,0,0,0,0,0,0,0,0,0,951.893,2500,4,35
1748120313633,0,0,0,0,0,0,0,0,0,962.063,2500,4,35
1748120313903,0,0,0,0,0,0,0,0,0,968.98,2500,4,35
1748120314173,0,0,0,0,0,0,0,0,0,980.534,2500,4,35
1748120314443,0,0,0,0,0,0,0,0,0,987.685,2500,4,35
1748120314713,0,0,0,0,0,0,0,0,0,997.112,2500,4,35
1748120314983,0,0,0,0,0,0,0,0,0,1007.05,2500,4,35
1748120315253,0,0,0,0,0,0,0,0,0,1013.71,2500,4,35
1748120315520,0,0,0,0,0,0,0,0,0,1019.82,2500,4,35
1748120315788,0,0,0,0,0,0,0,0,0,1026.35,2500,4,35
1748120316063,0,0,0,0,0,0,0,0,0,1033.64,2500,4,35
1748120316332,0,0,0,0,0,0,0,0,0,1041.54,2500,4,35
1748120316603,0,0,0,0,0,0,0,0,0,1048.91,2500,4,35
1748120316874,0,0,0,0,0,0,0,0,0,1055.12,2500,4,35
1748120317143,0,0,0,0,0,0,0,0,0,1063.76,2500,4,35
1748120317413,0,0,0,0,0,0,0,0,0,1070.28,2500,4,35
1748120317682,0,0,0,0,0,0,0,0,0,1077.74,2500,4,35
1748120317952,0,0,0,0,0,0,0,0,0,1081.87,2500,4,35
1748120318223,0,0,0,0,0,0,0,0,0,1087.11,2500,4,35
1748120318493,0,0,0,0,0,0,0,0,0,1095.94,2500,4,35
1748120318763,0,0,0,0,0,0,0,0,0,1099.64,2500,4,35
1748120319033,0,0,0,0,0,0,0,0,0,1102.74,2500,4,35
1748120319303,0,0,0,0,0,0,0,0,0,1107.84,2500,4,35
1748120319562,0,0,0,0,0,0,0,0,0,1113.21,2500,4,35
1748120319832,0,0,0,0,0,0,0,0,0,1118.41,2500,4,35
1748120320103,0,0,0,0,0,0,0,0,0,1119.87,2500,4,35
1748120320372,0,0,0,0,0,0,0,0,0,1122.67,2500,4,35
1748120320642,0,0,0,0,0,0,0,0,0,1125.93,2500,4,35
1748120320913,0,0,0,0,0,0,0,0,0,1122.7,2500,4,35
1748120321185,0,0,0,0,0,0,0,0,0,1118.36,2500,4,35
1748120321460,0,0,0,0,0,0,0,0,0,1115.36,2500,4,35
1748120321736,0,0,0,0,0,0,0,0,0,1108.91,2500,4,35
1748120322013,0,0,0,0,0,0,0,0,0,1101.17,2500,4,35
1748120322279,0,0,0,0,0,0,0,0,0,1093.75,2500,4,35
1748120322555,0,0,0,0,0,0,0,0,0,1090.99,2500,4,35
1748120322825,0,0,0,0,0,0,0,0,0,1083.97,2500,4,35
1748120323098,0,0,0,0,0,0,0,0,0,1077.86,2500,4,35
1748120323374,0,0,0,0,0,0,0,0,0,1072,2500,4,35
1748120323650,0,0,0,0,0,0,0,0,0,1066.37,2500,4,35
1748120323927,0,0,0,0,0,0,0,0,0,1063.2,2500,4,35
1748120324192,0,0,0,0,0,0,0,0,0,1057.6,2500,4,35
1748120324468,0,0,0,0,0,0,0,0,0,1054.92,2500,4,35
1748120324744,0,0,0,0,0,0,0,0,0,1051.84,2500,4,35
1748120325020,0,0,0,0,0,0,0,0,0,1048.35,2500,4,35
1748120325296,0,0,0,0,0,0,0,0,0,1044.91,2500,4,35
1748120325572,0,0,0,0,0,0,0,0,0,1043.36,2500,4,35
1748120325848,0,0,0,0,0,0,0,0,0,1041.53,2500,4,35
1748120326123,0,0,0,0,0,0,0,0,0,1047.38,2539,4,35
1748120326385,0,0,0,0,0,0,0,0,0,1050.48,2539,4,35
1748120326653,0,0,0,0,0,0,0,0,0,1052.53,2539,4,35
1748120326909,0,0,0,0,0,0,0,0,0,1056.19,2539,4,35
1748120327184,0,0,0,0,0,0,0,0,0,1058.85,2539,4,35
1748120327453,0,0,0,0,0,0,0,0,0,1062.56,2539,4,35
1748120327722,0,0,0,0,0,0,0,0,0,1134.04,35520,4,35
1748120327992,0,0,0,0,0,0,0,0,0,1135.99,35520,4,35
1748120328262,0,0,0,0,0,0,0,0,0,1138.93,35520,4,35
1748120328533,0,0,0,0,0,0,0,0,0,1141.74,35520,4,35
1748120328802,0,0,0,0,0,0,0,0,0,1143.66,35520,4,35
1748120329072,0,0,0,0,0,0,0,0,0,1145.18,35520,4,35
1748120329343,0,0,0,0,0,0,0,0,0,1148.84,35520,4,35
1748120329612,0,0,0,0,0,0,0,0,0,1150.06,35520,4,35
1748120329882,0,0,0,0,0,0,0,0,0,1153.87,35520,4,35
1748120330153,0,0,0,0,0,0,0,0,0,1156.63,35520,4,35
1748120330424,0,0,0,0,0,0,0,0,0,1160.67,35520,4,35
1748120330693,0,0,0,0,0,0,0,0,0,1162.49,35520,4,35
1748120330949,0,0,0,0,0,0,0,0,0,1165.85,35520,4,35
1748120331223,0,0,0,0,0,0,0,0,0,1166.76,35520,4,35
1748120331493,0,0,0,0,0,0,0,0,0,1170.69,35520,4,35
1748120331764,0,0,0,0,0,0,0,0,0,1174.42,35520,4,35
1748120332032,0,0,0,0,0,0,0,0,0,1177.02,35520,4,35
1748120332303,0,0,0,0,0,0,0,0,0,1179.18,35520,4,35
1748120332574,0,0,0,0,0,0,0,0,0,1181.3,35520,4,35
1748120332843,0,0,0,0,0,0,0,0,0,1182.55,35520,4,35
1748120333114,0,0,0,0,0,0,0,0,0,1184.32,35520,4,35
1748120333384,0,0,0,0,0,0,0,0,0,1185.56,35520,4,35
1748120333654,0,0,0,0,0,0,0,0,0,1185.93,35520,4,35
1748120333922,0,0,0,0,0,0,0,0,0,1188.03,35520,4,35
1748120334179,0,0,0,0,0,0,0,0,0,1190.71,35520,4,35
1748120334452,0,0,0,0,0,0,0,0,0,1192.1,35520,4,35
1748120334724,0,0,0,0,0,0,0,0,0,1210.38,35520,4,35
1748120334994,0,0,0,0,0,0,0,0,0,1212.76,35520,4,35
1748120335263,0,0,0,0,0,0,0,0,0,1232.64,35520,4,35
1748120335532,0,0,0,0,0,0,0,0,0,1234.26,35520,4,35
1748120335802,0,0,0,0,0,0,0,0,0,1236.27,35520,4,35
1748120336069,0,0,0,0,0,0,0,0,0,1238.46,35520,4,35
1748120336343,0,0,0,0,0,0,0,0,0,1238.09,35520,4,35
1748120336619,0,0,0,0,0,0,0,0,0,1237.6,35520,4,35
1748120336888,0,0,0,0,0,0,0,0,0,1234.38,35520,4,35
1748120337164,0,0,0,0,0,0,0,0,0,1231.65,35520,4,35
1748120337424,0,0,0,0,0,0,0,0,0,1228.13,35520,4,35
1748120337700,0,0,0,0,0,0,0,0,0,1224.37,35520,4,35
1748120337975,0,0,0,0,0,0,0,0,0,1221.5,35520,4,35
1748120338252,0,0,0,0,0,0,0,0,0,1216.86,35520,4,35
1748120338528,0,0,0,0,0,0,0,0,0,1212.37,35520,4,35
1748120338803,0,0,0,0,0,0,0,0,0,1208.61,35520,4,35
1748120339070,0,0,0,0,0,0,0,0,0,1204.3,35520,4,35
1748120339346,0,0,0,0,0,0,0,0,0,1199.91,35520,4,35
1748120339622,0,0,0,0,0,0,0,0,0,1197.69,35520,4,35
1748120339899,0,0,0,0,0,0,0,0,0,1198.45,35520,4,35
1748120340174,0,0,0,0,0,0,0,0,0,1194.88,35520,4,35
1748120340451,0,0,0,0,0,0,0,0,0,1191.67,35520,4,35
1748120340727,0,0,0,0,0,0,0,0,0,1187.85,35520,4,35
1748120341003,0,0,0,0,0,0,0,0,0,1184.43,35520,4,35
1748120341280,0,0,0,0,0,0,0,0,0,1180.69,35520,4,35
1748120341556,0,0,0,0,0,0,0,0,0,1180.14,35520,4,35
1748120341821,0,0,0,0,0,0,0,0,0,1180.85,35520,4,35
1748120342092,0,0,0,0,0,0,0,0,0,1181.53,35520,4,35
1748120342362,0,0,0,0,0,0,0,0,0,1183.12,35520,4,35
1748120342633,0,0,0,0,0,0,0,0,0,1184.68,35520,4,35
1748120342905,0,0,0,0,0,0,0,0,0,1180.9,35520,4,35
1748120343180,0,0,0,0,0,0,0,0,0,1182.61,35520,4,35
1748120343456,0,0,0,0,0,0,0,0,0,1181.43,35520,4,35
1748120343732,0,0,0,0,0,0,0,0,0,1180.51,35520,4,35
1748120344008,0,0,0,0,0,0,0,0,0,1178.6,35520,4,35
1748120344284,0,0,0,0,0,0,0,0,0,1175.71,35520,4,35
1748120344559,0,0,0,0,0,0,0,0,0,1172.77,35520,4,35
1748120344835,0,0,0,0,0,0,0,0,0,1168.96,35520,4,35
1748120345105,0,0,0,0,0,0,0,0,0,1165.9,35520,4,35
1748120345374,0,0,0,0,0,0,0,0,0,1163.07,35520,4,35
1748120345650,0,0,0,0,0,0,0,0,0,1160.22,35520,4,35
1748120345925,0,0,0,0,0,0,0,0,0,1159.2,35520,4,35
1748120346198,0,0,0,0,0,0,0,0,0,1156.56,35520,4,35
1748120346475,0,0,0,0,0,0,0,0,0,1153.91,35520,4,35
1748120346750,0,0,0,0,0,0,0,0,0,1152.26,35520,4,35
1748120347023,0,0,0,0,0,0,0,0,0,1148.33,35520,4,35
1748120347297,0,0,0,0,0,0,0,0,0,1160.03,35520,4,35
1748120347573,0,0,0,0,0,0,0,0,0,1158.01,35520,4,35
1748120347842,0,0,0,0,0,0,0,0,0,1157.72,35520,4,35
