timestamp_ms,runqueue_length_core0,runqueue_length_core1,runqueue_length_core2,runqueue_length_core3,total_runnable,total_blocked,total_sleeping,voluntary_ctx_switches,involuntary_ctx_switches,avg_scheduler_latency_ns,max_scheduler_latency_ns,realtime_processes,normal_processes
1748108946599,0,0,0,0,2,0,0,0,0,2600,2600,0,398
1748108946864,0,0,0,0,1,0,0,0,0,2675,4200,0,399
1748108947127,0,0,0,0,1,0,0,0,0,2363.64,4200,0,399
1748108947390,0,0,0,0,1,0,0,0,0,2357.5,4200,0,399
1748108947652,0,0,0,0,1,0,0,0,0,2385.24,4480,0,399
1748108947915,0,0,0,0,2,0,0,0,0,2320,4480,0,399
1748108948178,0,0,0,0,2,0,0,0,0,2330.28,4480,0,399
1748108948442,0,0,0,0,1,0,0,0,0,2286.89,4480,0,399
1748108948704,0,0,0,0,1,0,0,0,0,2251.43,4480,0,398
1748108948967,0,0,0,0,1,0,0,0,0,2224.17,4480,0,397
1748108949230,0,0,0,0,1,0,0,0,0,2208.63,4480,0,397
1748108949495,0,0,0,0,1,0,0,0,0,2188.57,4480,0,397
1748108949767,0,0,0,0,2,0,0,0,0,2197.24,4480,0,396
1748108950029,0,0,0,0,1,0,0,0,0,2208.26,4480,0,396
1748108950292,0,0,0,0,1,0,0,0,0,2312.32,11231,0,396
1748108950558,0,0,0,0,1,0,0,0,0,2278.71,11231,0,396
1748108950821,0,0,0,0,2,0,0,0,0,2232.32,11231,0,396
1748108951084,0,0,0,0,1,0,0,0,0,2204.08,11231,0,396
1748108951347,0,0,0,0,1,0,0,0,0,2216.99,11231,0,396
1748108951612,0,0,0,0,1,0,0,0,0,2198.11,11231,0,396
1748108951875,0,0,0,0,2,0,0,0,0,2201.28,11231,0,396
1748108952138,0,0,0,0,2,0,0,0,0,2190.45,11231,0,396
1748108952401,0,0,0,0,2,0,0,0,0,2207.23,11231,0,396
1748108952664,0,0,0,0,2,0,0,0,0,2213.25,11231,0,396
1748108952928,0,0,0,0,2,0,0,0,0,2201.73,11231,0,396
1748108953190,0,0,0,0,2,0,0,0,0,2195.67,11231,0,396
1748108953454,0,0,0,0,2,0,0,0,0,2219.6,11231,0,396
1748108953717,0,0,0,0,2,0,0,0,0,2233.48,11231,0,394
1748108953982,0,0,0,0,2,0,0,0,0,2256.16,11231,0,394
1748108954245,0,0,0,0,2,0,0,0,0,2288.19,11231,0,394
1748108954509,0,0,0,0,2,0,0,0,0,2313.37,11231,0,394
1748108954773,0,0,0,0,2,0,0,0,0,2350.59,11231,0,394
1748108955038,0,0,0,0,2,0,0,0,0,2380.87,11231,0,394
1748108955302,0,0,0,0,2,0,0,0,0,2399.34,11231,0,394
1748108955565,0,0,0,0,2,0,0,0,0,2425.66,11231,0,394
1748108955828,0,0,0,0,2,0,0,0,0,2430.92,11231,0,394
1748108956090,0,0,0,0,2,0,0,0,0,2443.46,11231,0,394
1748108956354,0,0,0,0,2,0,0,0,0,2469.75,11231,0,394
1748108956617,0,0,0,0,2,0,0,0,0,2481.55,11231,0,394
1748108956880,0,0,0,0,2,0,0,0,0,2491.88,11231,0,394
1748108957143,0,0,0,0,2,0,0,0,0,2508.01,11231,0,394
1748108957407,0,0,0,0,2,0,0,0,0,2548.32,11231,0,394
1748108957669,0,0,0,0,2,0,0,0,0,2568.44,11231,0,394
1748108957932,0,0,0,0,2,0,0,0,0,2575.13,11231,0,394
1748108958195,0,0,0,0,2,0,0,0,0,2589.97,11231,0,394
1748108958458,0,0,0,0,2,0,0,0,0,2604.89,11231,0,394
1748108958722,0,0,0,0,2,0,0,0,0,2623.77,11231,0,394
1748108958986,0,0,0,0,2,0,0,0,0,2642.01,11231,0,394
1748108959249,0,0,0,0,2,0,0,0,0,2655.89,11231,0,394
1748108959512,0,0,0,0,2,0,0,0,0,2662.71,11231,0,394
1748108959774,0,0,0,0,2,0,0,0,0,2661.03,11231,0,394
1748108960038,0,0,0,0,2,0,0,0,0,2672.51,11231,0,394
1748108960301,0,0,0,0,2,0,0,0,0,2686.32,11231,0,394
1748108960565,0,0,0,0,2,0,0,0,0,2707.24,11231,0,394
1748108960828,0,0,0,0,2,0,0,0,0,2716.87,11231,0,394
1748108961091,0,0,0,0,2,0,0,0,0,2715.8,11231,0,394
1748108961354,0,0,0,0,2,0,0,0,0,2721.43,11231,0,394
1748108961617,0,0,0,0,2,0,0,0,0,2731.83,11231,0,394
1748108961880,0,0,0,0,2,0,0,0,0,2751.95,11231,0,394
1748108962143,0,0,0,0,2,0,0,0,0,2765.95,11231,0,394
1748108962407,0,0,0,0,2,0,0,0,0,2778.59,11231,0,394
1748108962670,0,0,0,0,1,0,0,0,0,2782.34,11231,0,394
1748108962932,0,0,0,0,1,0,0,0,0,2769.45,11231,0,394
1748108963195,0,0,0,0,1,0,0,0,0,2759.91,11231,0,394
1748108963458,0,0,0,0,1,0,0,0,0,2749.99,11231,0,394
1748108963720,0,0,0,0,1,0,0,0,0,2738.23,11231,0,394
1748108963983,0,0,0,0,1,0,0,0,0,2725.44,11231,0,394
1748108964246,0,0,0,0,1,0,0,0,0,2713.82,11231,0,394
1748108964509,0,0,0,0,1,0,0,0,0,2706.24,11231,0,394
1748108964771,0,0,0,0,1,0,0,0,0,2694.26,11231,0,394
1748108965034,0,0,0,0,1,0,0,0,0,2685.04,11231,0,394
1748108965297,0,0,0,0,1,0,0,0,0,2679.81,11231,0,394
1748108965559,0,0,0,0,1,0,0,0,0,2669.52,11231,0,394
1748108965821,0,0,0,0,1,0,0,0,0,2667.01,11231,0,394
1748108966083,0,0,0,0,1,0,0,0,0,2657.54,11231,0,394
1748108966346,0,0,0,0,1,0,0,0,0,2646.81,11231,0,394
1748108966609,0,0,0,0,1,0,0,0,0,2641.19,11231,0,394
1748108966871,0,0,0,0,1,0,0,0,0,2631.08,11231,0,394
1748108967133,0,0,0,0,1,0,0,0,0,2621.32,11231,0,394
1748108967396,0,0,0,0,1,0,0,0,0,2611.63,11231,0,394
1748108967658,0,0,0,0,2,0,0,0,0,2606.31,11231,0,394
1748108967921,0,0,0,0,2,0,0,0,0,2609.7,11231,0,394
1748108968184,0,0,0,0,2,0,0,0,0,2613.31,11231,0,394
1748108968446,0,0,0,0,2,0,0,0,0,2616.21,11231,0,394
1748108968709,0,0,0,0,2,0,0,0,0,2626.83,11231,0,394
1748108968972,0,0,0,0,2,0,0,0,0,2630.17,11231,0,394
