timestamp_ms,overall_cpu_pct,overall_user_pct,overall_system_pct,overall_iowait_pct,memory_usage_pct,memory_available_kb,swap_usage_kb,load_1min,load_5min,load_15min,total_context_switches,runnable_tasks,blocked_tasks,total_processes,realtime_processes,active_threads,min_response_ms,avg_response_ms,max_response_ms,p95_response_ms,p99_response_ms,avg_scheduler_latency_ns,max_scheduler_latency_ns,page_faults,cache_misses,instructions_per_cycle
1748108946599,0,0,0,0,9.00537,14379776,0,0.57,0.17,0.06,268752,2,0,398,0,0,0.00025,0.00025,0.00025,0.00025,0.00025,2600,2600,0,0,0
1748108946864,2.47068,0.480769,2.40385,0.480769,8.84699,14404804,0,0.57,0.17,0.06,269511,1,0,399,0,0,0.00025,0.000333333,0.00054,0.00054,0.00054,2675,4200,0,0,0
1748108947127,0.925926,0,0.485437,0,8.84699,14404804,0,0.57,0.17,0.06,269583,1,0,399,0,0,0.00024,0.000291818,0.00054,0.00054,0.00054,2363.64,4200,0,0,0
1748108947390,0.520833,0,0.487805,0,8.84699,14404804,0,0.57,0.17,0.06,269662,1,0,399,0,0,0.00024,0.0002925,0.00054,0.00054,0.00054,2357.5,4200,0,0,0
1748108947652,0.480769,0,0.483092,0,8.84699,14404804,0,0.57,0.17,0.06,269730,1,0,399,0,0,0.00024,0.000292381,0.00054,0.0005,0.00054,2385.24,4480,0,0,0
1748108947915,0,0.487805,0.487805,0,8.84699,14404804,0,0.57,0.17,0.06,269908,2,0,399,0,0,0.00024,0.000285,0.00054,0.0005,0.00054,2320,4480,0,0,0
1748108948178,0.925926,0,0.97561,0,8.84697,14404808,0,0.57,0.17,0.06,270010,2,0,399,0,0,0.00024,0.000305625,0.0006,0.00054,0.0006,2330.28,4480,0,0,0
1748108948442,0.520833,0,0.485437,0,8.84697,14404808,0,0.57,0.17,0.06,270104,1,0,399,0,0,0.00024,0.000311459,0.0006,0.00054,0.0006,2286.89,4480,0,0,0
1748108948704,0.480769,0,0.487805,0,8.81469,14409908,0,0.57,0.17,0.06,270232,1,0,398,0,0,0.00024,0.000310571,0.0006,0.00054,0.0006,2251.43,4480,0,0,0
1748108948967,0.462963,0,0.487805,0,8.79305,14413328,0,0.57,0.17,0.06,270501,1,0,397,0,0,0.00024,0.000310702,0.0006,0.00054,0.0006,2224.17,4480,0,0,0
1748108949230,0.462963,0,0.966184,0,8.79305,14413328,0,0.57,0.17,0.06,270609,1,0,397,0,0,0.00024,0.000313731,0.0006,0.00054,0.0006,2208.63,4480,0,0,0
1748108949495,1.0016,0,0.483092,0,8.79305,14413328,0,0.57,0.17,0.06,270730,1,0,397,0,0,0.000234,0.000313397,0.0006,0.00054,0.0006,2188.57,4480,0,0,0
1748108949767,2.31481,0,0.956938,0,8.75957,14418620,0,0.57,0.17,0.06,271530,2,0,396,0,0,0.000234,0.000322746,0.000641,0.000579,0.000641,2197.24,4480,0,0,0
1748108950029,0.480769,0.483092,0.483092,0,8.76108,14418380,0,0.57,0.17,0.06,272163,1,0,396,0,0,0.000234,0.000325765,0.000641,0.000579,0.000641,2208.26,4480,0,0,0
1748108950292,0,0,0.478469,0,8.76108,14418380,0,0.57,0.17,0.06,272304,1,0,396,0,0,0.000234,0.000322767,0.000641,0.000579,0.000641,2312.32,11231,0,0,0
1748108950558,0.480769,0,0.473934,0,8.76205,14418228,0,0.57,0.17,0.06,272778,1,0,396,0,0,0.000234,0.000323165,0.000641,0.000579,0.000641,2278.71,11231,0,0,0
1748108950821,0.961538,0,0.478469,0,8.76205,14418228,0,0.52,0.16,0.06,273242,2,0,396,0,0,0.000234,0.000324214,0.000641,0.00054,0.000641,2232.32,11231,0,0,0
1748108951084,0.462963,0,0.956938,0,8.76205,14418228,0,0.52,0.16,0.06,273847,1,0,396,0,0,0.000234,0.00032364,0.000641,0.00054,0.000641,2204.08,11231,0,0,0
1748108951347,0.480769,0,0.478469,0,8.76205,14418228,0,0.52,0.16,0.06,274189,1,0,396,0,0,0.000234,0.000325383,0.000641,0.000546,0.000641,2216.99,11231,0,0,0
1748108951612,0.892857,0,0.47619,0,8.762,14418236,0,0.52,0.16,0.06,274613,1,0,396,0,0,0.000234,0.000327172,0.000641,0.000546,0.000641,2198.11,11231,0,0,0
1748108951875,9.72222,6.46766,0.497512,0.497512,8.76397,14417924,0,0.52,0.16,0.06,274700,2,0,396,0,0,0.000232,0.000322448,0.000641,0.00054,0.0006,2201.28,11231,0,0,0
1748108952138,12.9808,7.53769,0.502513,0,8.76397,14417924,0,0.52,0.16,0.06,274764,2,0,396,0,0,0.000232,0.000318809,0.000641,0.00054,0.0006,2190.45,11231,0,0,0
1748108952401,12.5,8.0402,0,0,8.76397,14417924,0,0.52,0.16,0.06,274798,2,0,396,0,0,0.000232,0.000316026,0.000641,0.00054,0.0006,2207.23,11231,0,0,0
1748108952664,14.4231,9.09091,0.505051,0,8.76346,14418004,0,0.52,0.16,0.06,274942,2,0,396,0,0,0.000232,0.000316342,0.000641,0.00054,0.0006,2213.25,11231,0,0,0
1748108952928,12.5,8.0402,0,0,8.76346,14418004,0,0.52,0.16,0.06,274998,2,0,396,0,0,0.000232,0.000316624,0.000641,0.00054,0.0006,2201.73,11231,0,0,0
1748108953190,12.9808,8,1,0,8.93386,14391076,0,0.52,0.16,0.06,275156,2,0,396,0,0,0.000232,0.000313623,0.000641,0.00054,0.0006,2195.67,11231,0,0,0
1748108953454,12.9808,0,12.8571,0,9.6489,14278080,0,0.52,0.16,0.06,275225,2,0,396,0,0,0.000232,0.000315382,0.000641,0.00054,0.0006,2219.6,11231,0,0,0
1748108953717,12.9808,0,12.9808,0,10.0561,14213724,0,0.52,0.16,0.06,275726,2,0,394,0,0,0.000232,0.000317369,0.000641,0.00054,0.000635,2233.48,11231,0,0,0
1748108953982,12.5,1.94175,9.2233,0,10.3605,14165624,0,0.52,0.16,0.06,275818,2,0,394,0,0,0.000232,0.000317,0.000641,0.00054,0.000635,2256.16,11231,0,0,0
1748108954245,12.9808,1.43541,11.0048,0,10.5601,14134076,0,0.52,0.16,0.06,275895,2,0,394,0,0,0.000232,0.000316841,0.000641,0.00054,0.000635,2288.19,11231,0,0,0
1748108954509,12.9808,4.32692,7.21154,0,10.6596,14118360,0,0.52,0.16,0.06,275963,2,0,394,0,0,0.000232,0.000318269,0.000641,0.000546,0.000635,2313.37,11231,0,0,0
1748108954773,13.4437,4.85437,6.79612,0,10.7106,14110300,0,0.52,0.16,0.06,276082,2,0,394,0,0,0.000232,0.000318179,0.000641,0.00054,0.000635,2350.59,11231,0,0,0
1748108955038,12.9808,4.78469,7.17703,0,10.7106,14110300,0,0.52,0.16,0.06,276136,2,0,394,0,0,0.000232,0.000318419,0.000641,0.00054,0.000635,2380.87,11231,0,0,0
1748108955302,12.5,2.88462,9.13462,0,10.913,14078320,0,0.52,0.16,0.06,276186,2,0,394,0,0,0.000232,0.000319645,0.000641,0.00054,0.000635,2399.34,11231,0,0,0
1748108955565,12.9808,0,12.8571,0,11.4233,13997672,0,0.52,0.16,0.06,276214,2,0,394,0,0,0.000232,0.000321254,0.000675,0.000546,0.000641,2425.66,11231,0,0,0
1748108955828,13,0.47619,12.8571,0,11.8823,13925132,0,0.56,0.18,0.06,276304,2,0,394,0,0,0.000232,0.000320626,0.000675,0.00054,0.000641,2430.92,11231,0,0,0
1748108956090,12.5,0,12.8571,0,12.3414,13852592,0,0.56,0.18,0.06,276340,2,0,394,0,0,0.000232,0.000323723,0.000675,0.000546,0.000641,2443.46,11231,0,0,0
1748108956354,12.9808,4.47761,4.97512,0,10.6402,14121432,0,0.56,0.18,0.06,276414,2,0,394,0,0,0.000232,0.000324155,0.000675,0.000546,0.000641,2469.75,11231,0,0,0
1748108956617,9.36147,5.52764,2.51256,0,10.7898,14097780,0,0.56,0.18,0.06,276471,2,0,394,0,0,0.000232,0.000324263,0.000675,0.000546,0.000641,2481.55,11231,0,0,0
1748108956880,13.4259,6.96517,1.99005,0,10.9938,14065540,0,0.56,0.18,0.06,276533,2,0,394,0,0,0.000232,0.000324704,0.000675,0.00054,0.000635,2491.88,11231,0,0,0
1748108957143,12.5,8.0402,0,0,10.9938,14065540,0,0.56,0.18,0.06,276563,2,0,394,0,0,0.000232,0.000324394,0.000675,0.00054,0.000635,2508.01,11231,0,0,0
1748108957407,12.9808,7.53769,0.502513,0,11.0451,14057440,0,0.56,0.18,0.06,276597,2,0,394,0,0,0.000232,0.000326346,0.000675,0.000554,0.000635,2548.32,11231,0,0,0
1748108957669,12.9808,4.5,4.5,0,12.5752,13815640,0,0.56,0.18,0.06,276666,2,0,394,0,0,0.000232,0.000329822,0.000675,0.000575,0.000635,2568.44,11231,0,0,0
1748108957932,12.5,0.47619,12.381,0,13.0342,13743100,0,0.56,0.18,0.06,276712,2,0,394,0,0,0.000232,0.000329103,0.000675,0.000554,0.000635,2575.13,11231,0,0,0
1748108958195,12.9808,5.52764,2.51256,0,11.18,14036120,0,0.56,0.18,0.06,276778,2,0,394,0,0,0.000232,0.000328546,0.000675,0.000554,0.000635,2589.97,11231,0,0,0
1748108958458,12.9808,7.5,1,0,11.1793,14036232,0,0.56,0.18,0.06,276810,2,0,394,0,0,0.000232,0.000330026,0.000675,0.000554,0.000635,2604.89,11231,0,0,0
1748108958722,12.5,7.53769,0,0,11.1793,14036232,0,0.56,0.18,0.06,276848,2,0,394,0,0,0.000232,0.000330358,0.000675,0.000554,0.000635,2623.77,11231,0,0,0
1748108958986,12.5,7.53769,0.502513,0,11.1793,14036232,0,0.56,0.18,0.06,276896,2,0,394,0,0,0.000232,0.000329971,0.000675,0.000554,0.000635,2642.01,11231,0,0,0
1748108959249,12.9808,7.53769,0.502513,0,11.1793,14036232,0,0.56,0.18,0.06,276926,2,0,394,0,0,0.000232,0.000330888,0.000675,0.000554,0.000641,2655.89,11231,0,0,0
1748108959512,12.9808,6,2.5,0,13.0146,13746200,0,0.56,0.18,0.06,276952,2,0,394,0,0,0.000232,0.000331286,0.000675,0.000554,0.000641,2662.71,11231,0,0,0
1748108959774,13.4437,4.56853,3.5533,0,11.1653,14038440,0,0.56,0.18,0.06,277142,2,0,394,0,0,0.000232,0.000332135,0.000675,0.000575,0.000643,2661.03,11231,0,0,0
1748108960038,12.9808,7.5,0.5,0,11.1653,14038440,0,0.56,0.18,0.06,277168,2,0,394,0,0,0.000232,0.000332414,0.000675,0.000554,0.000643,2672.51,11231,0,0,0
