timestamp_ms,runqueue_length_core0,runqueue_length_core1,runqueue_length_core2,runqueue_length_core3,total_runnable,total_blocked,total_sleeping,voluntary_ctx_switches,involuntary_ctx_switches,avg_scheduler_latency_ns,max_scheduler_latency_ns,realtime_processes,normal_processes
1748111143799,0,0,0,0,2,0,0,0,0,2820,2820,0,405
1748111144062,0,0,0,0,1,0,0,0,0,2378.33,2820,0,406
1748111144325,0,0,0,0,1,0,0,0,0,2229.09,2820,0,406
1748111144587,0,0,0,0,1,0,0,0,0,2223.19,2820,0,406
1748111144849,0,0,0,0,1,0,0,0,0,2143.68,2820,0,406
1748111145112,0,0,0,0,1,0,0,0,0,2212.63,2960,0,406
1748111145374,0,0,0,0,1,0,0,0,0,2226.59,2960,0,406
1748111145637,0,0,0,0,1,0,0,0,0,2209.76,2960,0,406
1748111145900,0,0,0,0,1,0,0,0,0,2239.33,3580,0,406
1748111146162,0,0,0,0,1,0,0,0,0,2283.19,4891,0,406
1748111146425,0,0,0,0,1,0,0,0,0,2251,4891,0,406
1748111146688,0,0,0,0,1,0,0,0,0,2236.09,4891,0,406
1748111146950,0,0,0,0,1,0,0,0,0,2217.84,4891,0,406
1748111147213,0,0,0,0,1,0,0,0,0,2244.06,4891,0,406
1748111147476,0,0,0,0,1,0,0,0,0,2237.11,4891,0,406
1748111147738,0,0,0,0,1,0,0,0,0,2313.24,4910,0,406
1748111148001,0,0,0,0,1,0,0,0,0,2355.32,4910,0,406
1748111148264,0,0,0,0,1,0,0,0,0,2400.65,4910,0,406
1748111148526,0,0,0,0,1,0,0,0,0,2396.82,4910,0,406
1748111148789,0,0,0,0,1,0,0,0,0,2380.48,4910,0,406
1748111149051,0,0,0,0,2,0,0,0,0,2396.66,4910,0,406
1748111149314,0,0,0,0,2,0,0,0,0,2403.27,4910,0,406
1748111149577,0,0,0,0,2,0,0,0,0,2420.61,4910,0,406
1748111149840,0,0,0,0,2,0,0,0,0,2418.26,4910,0,406
1748111150102,0,0,0,0,2,0,0,0,0,2415.71,4910,0,406
1748111150365,0,0,0,0,2,0,0,0,0,2426.26,4910,0,406
1748111150627,0,0,0,0,2,0,0,0,0,2437.66,4910,0,406
1748111150891,0,0,0,0,2,0,0,0,0,2468.31,4910,0,406
1748111151154,0,0,0,0,2,0,0,0,0,2479.54,4910,0,406
1748111151417,0,0,0,0,2,0,0,0,0,2483.64,4910,0,406
1748111151680,0,0,0,0,2,0,0,0,0,2502,4910,0,406
1748111151943,0,0,0,0,2,0,0,0,0,2514.96,4910,0,406
1748111152206,0,0,0,0,2,0,0,0,0,2544.88,4910,0,406
1748111152469,0,0,0,0,2,0,0,0,0,2557.84,4910,0,406
1748111152732,0,0,0,0,2,0,0,0,0,2572.34,4910,0,406
1748111152995,0,0,0,0,2,0,0,0,0,2588.45,4910,0,406
1748111153258,0,0,0,0,2,0,0,0,0,2586.69,4910,0,406
1748111153521,0,0,0,0,2,0,0,0,0,2582.63,4910,0,406
1748111153784,0,0,0,0,2,0,0,0,0,2588.94,4910,0,406
1748111154046,0,0,0,0,2,0,0,0,0,2607.35,4910,0,406
1748111154309,0,0,0,0,2,0,0,0,0,2614.88,4910,0,406
1748111154571,0,0,0,0,2,0,0,0,0,2642.76,6750,0,406
1748111154834,0,0,0,0,2,0,0,0,0,2661.24,6750,0,406
1748111155098,0,0,0,0,2,0,0,0,0,2663.61,6750,0,406
1748111155361,0,0,0,0,2,0,0,0,0,2685.71,6750,0,406
1748111155624,0,0,0,0,2,0,0,0,0,2696.44,6750,0,406
1748111155886,0,0,0,0,2,0,0,0,0,2716.56,6750,0,406
1748111156149,0,0,0,0,2,0,0,0,0,2735.18,6750,0,406
1748111156413,0,0,0,0,2,0,0,0,0,2750.97,6750,0,406
1748111156676,0,0,0,0,2,0,0,0,0,2766.78,6750,0,406
1748111156939,0,0,0,0,2,0,0,0,0,2775.5,6750,0,406
1748111157203,0,0,0,0,2,0,0,0,0,2784.35,6750,0,406
1748111157466,0,0,0,0,2,0,0,0,0,2799.69,6750,0,406
1748111157729,0,0,0,0,2,0,0,0,0,2814.83,6750,0,406
1748111157992,0,0,0,0,2,0,0,0,0,2832.83,6750,0,406
1748111158255,0,0,0,0,2,0,0,0,0,2838.74,6750,0,406
1748111158517,0,0,0,0,2,0,0,0,0,2835.9,6750,0,406
1748111158780,0,0,0,0,2,0,0,0,0,2832.79,6750,0,406
1748111159042,0,0,0,0,2,0,0,0,0,2835.21,6750,0,406
1748111159305,0,0,0,0,2,0,0,0,0,2843.09,6750,0,406
1748111159567,0,0,0,0,2,0,0,0,0,2848.44,6750,0,406
1748111159830,0,0,0,0,2,0,0,0,0,2854.49,6750,0,406
1748111160094,0,0,0,0,2,0,0,0,0,2864.45,6750,0,406
1748111160356,0,0,0,0,1,0,0,0,0,2863.71,6750,0,406
1748111160619,0,0,0,0,1,0,0,0,0,2858.27,6750,0,406
1748111160882,0,0,0,0,1,0,0,0,0,2851.6,6750,0,406
1748111161144,0,0,0,0,1,0,0,0,0,2843.69,6750,0,406
1748111161406,0,0,0,0,1,0,0,0,0,2832.41,6750,0,406
1748111161669,0,0,0,0,1,0,0,0,0,2823.58,6750,0,406
1748111161931,0,0,0,0,1,0,0,0,0,2814.15,6750,0,406
1748111162194,0,0,0,0,1,0,0,0,0,2809.98,6750,0,406
1748111162457,0,0,0,0,1,0,0,0,0,2805.53,6750,0,406
1748111162719,0,0,0,0,1,0,0,0,0,2815.01,6750,0,406
1748111162982,0,0,0,0,1,0,0,0,0,2810.11,6750,0,406
1748111163244,0,0,0,0,1,0,0,0,0,2801,6750,0,406
1748111163507,0,0,0,0,1,0,0,0,0,2793.88,6750,0,406
1748111163770,0,0,0,0,1,0,0,0,0,2786.09,6750,0,406
1748111164033,0,0,0,0,1,0,0,0,0,2778.6,6750,0,406
1748111164295,0,0,0,0,1,0,0,0,0,2778.2,6750,0,406
1748111164557,0,0,0,0,1,0,0,0,0,2770.62,6750,0,406
1748111164820,0,0,0,0,1,0,0,0,0,2763.81,6750,0,406
1748111165082,0,0,0,0,1,0,0,0,0,2759.45,6750,0,406
1748111165345,0,0,0,0,2,0,0,0,0,2759.55,6750,0,406
1748111165607,0,0,0,0,2,0,0,0,0,2759.16,6750,0,406
1748111165870,0,0,0,0,2,0,0,0,0,2759.42,6750,0,406
1748111166133,0,0,0,0,2,0,0,0,0,2759.32,6750,0,406
1748111166395,0,0,0,0,2,0,0,0,0,2765.76,6750,0,406
1748111166658,0,0,0,0,2,0,0,0,0,2767.86,6750,0,406
1748111166920,0,0,0,0,2,0,0,0,0,2770.17,6750,0,406
1748111167183,0,0,0,0,2,0,0,0,0,2778.12,6750,0,406
1748111167445,0,0,0,0,2,0,0,0,0,2779.66,6750,0,406
1748111167708,0,0,0,0,2,0,0,0,0,2778.15,6750,0,406
1748111167970,0,0,0,0,2,0,0,0,0,2787.21,6750,0,406
1748111168232,0,0,0,0,2,0,0,0,0,2789.83,6750,0,406
1748111168495,0,0,0,0,2,0,0,0,0,2790.94,6750,0,406
1748111168758,0,0,0,0,2,0,0,0,0,2790.51,6750,0,406
1748111169020,0,0,0,0,2,0,0,0,0,2793.18,6750,0,406
1748111169283,0,0,0,0,2,0,0,0,0,2797.37,6750,0,406
1748111169545,0,0,0,0,2,0,0,0,0,3403.75,312094,0,406
1748111169807,0,0,0,0,2,0,0,0,0,3400.47,312094,0,406
1748111170070,0,0,0,0,2,0,0,0,0,3393.69,312094,0,406
1748111170333,0,0,0,0,2,0,0,0,0,3389.55,312094,0,406
1748111170595,0,0,0,0,2,0,0,0,0,3383.62,312094,0,406
1748111170858,0,0,0,0,2,0,0,0,0,3380.37,312094,0,406
1748111171120,0,0,0,0,2,0,0,0,0,3376.4,312094,0,406
1748111171383,0,0,0,0,2,0,0,0,0,3369.98,312094,0,406
1748111171646,0,0,0,0,2,0,0,0,0,3365.19,312094,0,406
1748111171909,0,0,0,0,2,0,0,0,0,3360.46,312094,0,406
1748111172172,0,0,0,0,2,0,0,0,0,3356.37,312094,0,406
1748111172434,0,0,0,0,2,0,0,0,0,3355.61,312094,0,406
1748111172697,0,0,0,0,2,0,0,0,0,3352.37,312094,0,406
1748111172959,0,0,0,0,2,0,0,0,0,3353.33,312094,0,406
1748111173222,0,0,0,0,2,0,0,0,0,3349.35,312094,0,406
1748111173485,0,0,0,0,2,0,0,0,0,3347.5,312094,0,406
1748111173748,0,0,0,0,2,0,0,0,0,3348.37,312094,0,406
1748111174010,0,0,0,0,2,0,0,0,0,3346.17,312094,0,406
1748111174273,0,0,0,0,1,0,0,0,0,3341.57,312094,0,406
1748111174536,0,0,0,0,1,0,0,0,0,3334.93,312094,0,406
1748111174798,0,0,0,0,1,0,0,0,0,3325.41,312094,0,406
1748111175061,0,0,0,0,1,0,0,0,0,3313.26,312094,0,406
1748111175324,0,0,0,0,1,0,0,0,0,3301.07,312094,0,406
1748111175586,0,0,0,0,1,0,0,0,0,3293.41,312094,0,406
1748111175848,0,0,0,0,1,0,0,0,0,3283.55,312094,0,406
1748111176112,0,0,0,0,1,0,0,0,0,3274.76,312094,0,406
1748111176374,0,0,0,0,1,0,0,0,0,3264.85,312094,0,406
1748111176636,0,0,0,0,1,0,0,0,0,3255.69,312094,0,406
1748111176899,0,0,0,0,1,0,0,0,0,3248.53,312094,0,406
1748111177161,0,0,0,0,1,0,0,0,0,3242.56,312094,0,406
1748111177424,0,0,0,0,1,0,0,0,0,3233.57,312094,0,406
1748111177687,0,0,0,0,1,0,0,0,0,3224,312094,0,406
1748111177949,0,0,0,0,1,0,0,0,0,3218.88,312094,0,406
1748111178211,0,0,0,0,1,0,0,0,0,3212.29,312094,0,406
1748111178473,0,0,0,0,1,0,0,0,0,3204.15,312094,0,406
1748111178736,0,0,0,0,1,0,0,0,0,3196.96,312094,0,406
1748111178999,0,0,0,0,1,0,0,0,0,3191.13,312094,0,406
1748111179262,0,0,0,0,2,0,0,0,0,3187.36,312094,0,406
1748111179524,0,0,0,0,2,0,0,0,0,3186.73,312094,0,406
1748111179787,0,0,0,0,2,0,0,0,0,3190.83,312094,0,406
1748111180050,0,0,0,0,1,0,0,0,0,3189.87,312094,0,406
1748111180312,0,0,0,0,1,0,0,0,0,3182.18,312094,0,406
1748111180575,0,0,0,0,1,0,0,0,0,3175.25,312094,0,406
1748111180837,0,0,0,0,1,0,0,0,0,3168.05,312094,0,406
1748111181100,0,0,0,0,1,0,0,0,0,3161.87,312094,0,406
1748111181363,0,0,0,0,1,0,0,0,0,3155.7,312094,0,406
1748111181626,0,0,0,0,1,0,0,0,0,3151.15,312094,0,406
1748111181889,0,0,0,0,1,0,0,0,0,3144.32,312094,0,406
1748111182152,0,0,0,0,1,0,0,0,0,3141.24,312094,0,406
1748111182414,0,0,0,0,1,0,0,0,0,3136.93,312094,0,406
1748111182677,0,0,0,0,1,0,0,0,0,3130.62,312094,0,406
1748111182939,0,0,0,0,1,0,0,0,0,3126.31,312094,0,406
1748111183201,0,0,0,0,1,0,0,0,0,3120.6,312094,0,406
1748111183464,0,0,0,0,1,0,0,0,0,3116.39,312094,0,406
1748111183726,0,0,0,0,1,0,0,0,0,3111.18,312094,0,406
1748111183989,0,0,0,0,1,0,0,0,0,3104.89,312094,0,406
1748111184251,0,0,0,0,1,0,0,0,0,3099.58,312094,0,406
1748111184513,0,0,0,0,1,0,0,0,0,3092.71,312094,0,406
1748111184776,0,0,0,0,1,0,0,0,0,3085.84,312094,0,406
1748111185038,0,0,0,0,2,0,0,0,0,3080.86,312094,0,406
1748111185301,0,0,0,0,2,0,0,0,0,3081.48,312094,0,406
1748111185564,0,0,0,0,2,0,0,0,0,3081.96,312094,0,406
1748111185827,0,0,0,0,2,0,0,0,0,3084.12,312094,0,406
1748111186090,0,0,0,0,2,0,0,0,0,3087.12,312094,0,406
1748111186353,0,0,0,0,2,0,0,0,0,3090.62,312094,0,406
1748111186616,0,0,0,0,2,0,0,0,0,3091.83,312094,0,406
1748111186879,0,0,0,0,2,0,0,0,0,3091.33,312094,0,406
1748111187142,0,0,0,0,2,0,0,0,0,3093.63,312094,0,406
1748111187405,0,0,0,0,2,0,0,0,0,3093.42,312094,0,406
1748111187667,0,0,0,0,1,0,0,0,0,3090.69,312094,0,406
1748111187930,0,0,0,0,1,0,0,0,0,3086.12,312094,0,406
1748111188192,0,0,0,0,1,0,0,0,0,3095.99,312094,0,406
1748111188454,0,0,0,0,1,0,0,0,0,3090.03,312094,0,406
1748111188717,0,0,0,0,1,0,0,0,0,3084.04,312094,0,406
1748111188979,0,0,0,0,1,0,0,0,0,3078.19,312094,0,406
1748111189241,0,0,0,0,1,0,0,0,0,3073.28,312094,0,406
1748111189504,0,0,0,0,1,0,0,0,0,3068.28,312094,0,406
1748111189766,0,0,0,0,1,0,0,0,0,3064.13,312094,0,406
1748111190028,0,0,0,0,1,0,0,0,0,3058.94,312094,0,406
1748111190292,0,0,0,0,1,0,0,0,0,3054.65,312094,0,406
1748111190554,0,0,0,0,1,0,0,0,0,3051.91,312094,0,406
1748111190816,0,0,0,0,1,0,0,0,0,3046.99,312094,0,406
1748111191079,0,0,0,0,1,0,0,0,0,3042.59,312094,0,406
1748111191342,0,0,0,0,1,0,0,0,0,3038.36,312094,0,406
1748111191604,0,0,0,0,1,0,0,0,0,3037.43,312094,0,406
1748111191868,0,0,0,0,1,0,0,0,0,3032.76,312094,0,406
1748111192130,0,0,0,0,1,0,0,0,0,3029.77,312094,0,406
1748111192392,0,0,0,0,1,0,0,0,0,3025.47,312094,0,406
1748111192655,0,0,0,0,2,0,0,0,0,3023.91,312094,0,406
1748111192918,0,0,0,0,2,0,0,0,0,3022.12,312094,0,406
1748111193181,0,0,0,0,2,0,0,0,0,3021.54,312094,0,406
1748111193444,0,0,0,0,2,0,0,0,0,3021.94,312094,0,406
1748111193706,0,0,0,0,3,0,0,0,0,3020.09,312094,0,406
1748111193969,0,0,0,0,2,0,0,0,0,3019.21,312094,0,406
1748111194231,0,0,0,0,2,0,0,0,0,3019.32,312094,0,406
1748111194494,0,0,0,0,2,0,0,0,0,3019.17,312094,0,406
1748111194757,0,0,0,0,2,0,0,0,0,3020.41,312094,0,406
1748111195020,0,0,0,0,2,0,0,0,0,3020.73,312094,0,406
1748111195282,0,0,0,0,2,0,0,0,0,3018.48,312094,0,406
1748111195544,0,0,0,0,1,0,0,0,0,3016.52,312094,0,406
1748111195806,0,0,0,0,1,0,0,0,0,3011.78,312094,0,406
1748111196069,0,0,0,0,1,0,0,0,0,3007.71,312094,0,406
1748111196331,0,0,0,0,1,0,0,0,0,3004.25,312094,0,406
1748111196594,0,0,0,0,1,0,0,0,0,2999.48,312094,0,406
1748111196856,0,0,0,0,1,0,0,0,0,2997.36,312094,0,406
1748111197118,0,0,0,0,1,0,0,0,0,2993.22,312094,0,406
1748111197381,0,0,0,0,1,0,0,0,0,2989.59,312094,0,406
1748111197643,0,0,0,0,1,0,0,0,0,2986.53,312094,0,406
1748111197906,0,0,0,0,1,0,0,0,0,2981.57,312094,0,406
1748111198168,0,0,0,0,1,0,0,0,0,2978.51,312094,0,406
1748111198430,0,0,0,0,1,0,0,0,0,2975.58,312094,0,406
1748111198693,0,0,0,0,1,0,0,0,0,2972.18,312094,0,406
1748111198956,0,0,0,0,1,0,0,0,0,2967.52,312094,0,406
1748111199218,0,0,0,0,1,0,0,0,0,2962.96,312094,0,406
1748111199480,0,0,0,0,1,0,0,0,0,2959.63,312094,0,406
1748111199742,0,0,0,0,1,0,0,0,0,2956.89,312094,0,406
1748111200005,0,0,0,0,1,0,0,0,0,2952.95,312094,0,406
1748111200268,0,0,0,0,1,0,0,0,0,2951.36,312094,0,406
1748111200530,0,0,0,0,2,0,0,0,0,2950.41,312094,0,406
1748111200792,0,0,0,0,2,0,0,0,0,2949.61,312094,0,406
1748111201055,0,0,0,0,2,0,0,0,0,2949.54,312094,0,406
1748111201318,0,0,0,0,2,0,0,0,0,2950.57,312094,0,406
1748111201581,0,0,0,0,2,0,0,0,0,2950.42,312094,0,406
1748111201843,0,0,0,0,2,0,0,0,0,2949.51,312094,0,406
1748111202106,0,0,0,0,2,0,0,0,0,2948.11,312094,0,406
1748111202368,0,0,0,0,2,0,0,0,0,2946.71,312094,0,406
1748111202632,0,0,0,0,2,0,0,0,0,2945.81,312094,0,406
1748111202894,0,0,0,0,1,0,0,0,0,2943.22,312094,0,406
1748111203157,0,0,0,0,1,0,0,0,0,2939.29,312094,0,406
1748111203419,0,0,0,0,1,0,0,0,0,2935.42,312094,0,406
1748111203682,0,0,0,0,1,0,0,0,0,2931.89,312094,0,406
1748111203944,0,0,0,0,1,0,0,0,0,2929.45,312094,0,406
1748111204206,0,0,0,0,1,0,0,0,0,2929.19,312094,0,406
1748111204469,0,0,0,0,1,0,0,0,0,2925.26,312094,0,406
1748111204732,0,0,0,0,1,0,0,0,0,2922.76,312094,0,406
1748111204994,0,0,0,0,1,0,0,0,0,2919.36,312094,0,406
1748111205256,0,0,0,0,1,0,0,0,0,2918.56,312094,0,406
1748111205518,0,0,0,0,1,0,0,0,0,2915.42,312094,0,406
1748111205780,0,0,0,0,1,0,0,0,0,2912.79,312094,0,406
1748111206043,0,0,0,0,1,0,0,0,0,2909.03,312094,0,406
1748111206306,0,0,0,0,1,0,0,0,0,2905.18,312094,0,406
1748111206568,0,0,0,0,1,0,0,0,0,2902.02,312094,0,406
1748111206830,0,0,0,0,1,0,0,0,0,2899.31,312094,0,406
1748111207093,0,0,0,0,1,0,0,0,0,2898.79,312094,0,406
1748111207355,0,0,0,0,1,0,0,0,0,2896.43,312094,0,406
1748111207617,0,0,0,0,1,0,0,0,0,2893.44,312094,0,406
1748111207880,0,0,0,0,2,0,0,0,0,2891.8,312094,0,406
1748111208143,0,0,0,0,2,0,0,0,0,2890.65,312094,0,406
1748111208405,0,0,0,0,2,0,0,0,0,2889.43,312094,0,406
1748111208668,0,0,0,0,2,0,0,0,0,2887.76,312094,0,406
1748111208931,0,0,0,0,2,0,0,0,0,2886.72,312094,0,406
1748111209193,0,0,0,0,2,0,0,0,0,2885.55,312094,0,406
1748111209456,0,0,0,0,2,0,0,0,0,2883.53,312094,0,406
1748111209719,0,0,0,0,2,0,0,0,0,2882.59,312094,0,406
1748111209983,0,0,0,0,2,0,0,0,0,2881.43,312094,0,406
1748111210246,0,0,0,0,2,0,0,0,0,2880.55,312094,0,406
1748111210508,0,0,0,0,2,0,0,0,0,2879.04,312094,0,406
1748111210772,0,0,0,0,2,0,0,0,0,2879.6,312094,0,406
