timestamp_ms,runqueue_length_core0,runqueue_length_core1,runqueue_length_core2,runqueue_length_core3,total_runnable,total_blocked,total_sleeping,voluntary_ctx_switches,involuntary_ctx_switches,avg_scheduler_latency_ns,max_scheduler_latency_ns,realtime_processes,normal_processes
1748111548267,0,0,0,0,4,0,0,0,0,3450,3450,0,371
1748111548530,0,0,0,0,1,0,0,0,0,2453.33,3450,0,372
1748111548791,0,0,0,0,1,0,0,0,0,2403.64,3450,0,372
1748111549053,0,0,0,0,1,0,0,0,0,2426.25,3450,0,372
1748111549315,0,0,0,0,1,0,0,0,0,2459.05,3450,0,372
1748111549577,0,0,0,0,1,0,0,0,0,2437.41,3450,0,375
1748111549838,0,0,0,0,1,0,0,0,0,2355.62,3450,0,375
1748111550100,0,0,0,0,1,0,0,0,0,2415.95,3450,0,375
1748111550362,0,0,0,0,1,0,0,0,0,2453.33,3450,0,375
1748111550624,0,0,0,0,1,0,0,0,0,2461.7,3600,0,375
1748111550886,0,0,0,0,1,0,0,0,0,2415.47,3600,0,375
1748111551148,0,0,0,0,1,0,0,0,0,2388.28,3600,0,375
1748111551410,0,0,0,0,1,0,0,0,0,2363.49,3600,0,375
1748111551671,0,0,0,0,1,0,0,0,0,2356.32,3600,0,375
1748111551933,0,0,0,0,1,0,0,0,0,2344.93,3600,0,375
1748111552195,0,0,0,0,1,0,0,0,0,2332.03,3600,0,375
1748111552456,0,0,0,0,1,0,0,0,0,2323.93,3600,0,375
1748111552718,0,0,0,0,1,0,0,0,0,2315.51,3600,0,375
1748111552980,0,0,0,0,1,0,0,0,0,2310.11,3600,0,375
1748111553243,0,0,0,0,1,0,0,0,0,2299.6,3600,0,375
1748111553505,0,0,0,0,1,0,0,0,0,2296.38,3600,0,375
1748111553766,0,0,0,0,1,0,0,0,0,2291.36,3600,0,375
1748111554028,0,0,0,0,1,0,0,0,0,2280.78,3600,0,375
1748111554290,0,0,0,0,1,0,0,0,0,2272.58,3600,0,375
1748111554551,0,0,0,0,3,0,0,0,0,2281.92,3720,0,375
1748111554813,0,0,0,0,4,0,0,0,0,2276.11,3720,0,375
1748111555074,0,0,0,0,3,0,0,0,0,2269.93,3720,0,375
1748111555336,0,0,0,0,3,0,0,0,0,2261.91,3720,0,375
1748111555597,0,0,0,0,2,0,0,0,0,2251.37,3720,0,375
1748111555858,0,0,0,0,2,0,0,0,0,2249.21,3720,0,375
1748111556120,0,0,0,0,2,0,0,0,0,2259.04,3720,0,375
1748111556382,0,0,0,0,2,0,0,0,0,2270.49,3720,0,375
1748111556643,0,0,0,0,2,0,0,0,0,2297.07,3720,0,375
1748111556905,0,0,0,0,2,0,0,0,0,2321.34,3720,0,375
1748111557167,0,0,0,0,2,0,0,0,0,2342.88,3720,0,375
1748111557429,0,0,0,0,2,0,0,0,0,2354.64,3720,0,375
1748111557690,0,0,0,0,2,0,0,0,0,2374.41,4880,0,375
1748111557952,0,0,0,0,2,0,0,0,0,2394.87,4880,0,375
1748111558214,0,0,0,0,2,0,0,0,0,2414.44,4880,0,375
1748111558476,0,0,0,0,2,0,0,0,0,2442.12,4880,0,375
1748111558738,0,0,0,0,2,0,0,0,0,2458.32,4880,0,375
1748111558999,0,0,0,0,2,0,0,0,0,2472.06,4880,0,375
1748111559261,0,0,0,0,2,0,0,0,0,2483.52,4880,0,375
1748111559523,0,0,0,0,2,0,0,0,0,2496.65,4880,0,375
1748111559784,0,0,0,0,2,0,0,0,0,2521.4,5040,0,375
1748111560046,0,0,0,0,2,0,0,0,0,2535.13,5040,0,375
1748111560308,0,0,0,0,2,0,0,0,0,2555.04,5040,0,375
1748111560570,0,0,0,0,2,0,0,0,0,2565.22,5040,0,375
1748111560831,0,0,0,0,2,0,0,0,0,2575,5040,0,375
1748111561093,0,0,0,0,2,0,0,0,0,2582.98,5040,0,375
1748111561355,0,0,0,0,2,0,0,0,0,2591.31,5040,0,375
1748111561617,0,0,0,0,2,0,0,0,0,2602.18,5040,0,375
1748111561879,0,0,0,0,2,0,0,0,0,2614.02,5040,0,375
1748111562141,0,0,0,0,2,0,0,0,0,2619.86,5040,0,375
1748111562403,0,0,0,0,2,0,0,0,0,2624.98,5040,0,375
1748111562664,0,0,0,0,2,0,0,0,0,2633.81,5040,0,375
1748111562926,0,0,0,0,2,0,0,0,0,2643.46,5040,0,375
1748111563188,0,0,0,0,2,0,0,0,0,2655.82,5040,0,375
1748111563450,0,0,0,0,2,0,0,0,0,2666.06,5040,0,375
1748111563711,0,0,0,0,1,0,0,0,0,2672.67,5040,0,375
1748111563973,0,0,0,0,1,0,0,0,0,2666.79,5040,0,375
1748111564235,0,0,0,0,1,0,0,0,0,2661.01,5040,0,375
1748111564496,0,0,0,0,1,0,0,0,0,2649.94,5040,0,375
1748111564757,0,0,0,0,1,0,0,0,0,2639.91,5040,0,375
1748111565018,0,0,0,0,1,0,0,0,0,2632.01,5040,0,375
1748111565280,0,0,0,0,1,0,0,0,0,2621.48,5040,0,375
1748111565541,0,0,0,0,1,0,0,0,0,2610.35,5040,0,375
1748111565803,0,0,0,0,1,0,0,0,0,2602.07,5040,0,375
1748111566064,0,0,0,0,1,0,0,0,0,2594.3,5040,0,375
1748111566325,0,0,0,0,1,0,0,0,0,2590.06,5040,0,375
1748111566587,0,0,0,0,1,0,0,0,0,2581.68,5040,0,375
1748111566848,0,0,0,0,1,0,0,0,0,2573.25,5040,0,375
1748111567109,0,0,0,0,1,0,0,0,0,2565.44,5040,0,375
1748111567371,0,0,0,0,1,0,0,0,0,2562.43,5040,0,375
1748111567633,0,0,0,0,1,0,0,0,0,2556.78,5040,0,375
1748111567895,0,0,0,0,1,0,0,0,0,2549.52,5040,0,375
1748111568156,0,0,0,0,1,0,0,0,0,2543.73,5040,0,375
1748111568418,0,0,0,0,1,0,0,0,0,2539.25,5040,0,375
1748111568679,0,0,0,0,1,0,0,0,0,2533.5,5040,0,375
1748111568941,0,0,0,0,3,0,0,0,0,2538.13,5040,0,375
